101,Thu Jun 23 00:01:00 CST 2016,5
102,Fri Jun 24 00:01:00 CST 2016,10
103,Sat Jun 25 00:01:00 CST 2016,11
104,Sun Jun 26 00:01:00 CST 2016,8
105,Mon Jun 27 00:01:00 CST 2016,9
106,Tue Jun 28 00:01:00 CST 2016,10
107,Wed Jun 29 00:01:00 CST 2016,4
108,Fri Jul 01 00:01:00 CST 2016,5
109,Sat Jul 02 00:01:00 CST 2016,6
110,Sun Jul 03 00:01:00 CST 2016,8
111,Mon Jul 04 00:01:00 CST 2016,12
112,Wed Jul 06 00:01:00 CST 2016,6
113,Thu Jul 07 00:01:00 CST 2016,10
114,Fri Jul 08 00:01:00 CST 2016,5
115,Sat Jul 09 00:01:00 CST 2016,7
116,Sun Jul 10 00:01:00 CST 2016,5
117,Mon Jul 11 00:01:00 CST 2016,9
118,Tue Jul 12 00:01:00 CST 2016,9
119,Wed Jul 13 00:01:00 CST 2016,8
120,Thu Jul 14 00:01:00 CST 2016,11
121,Fri Jul 15 00:01:00 CST 2016,6
122,Sat Jul 16 00:01:00 CST 2016,9
123,Sun Jul 17 00:01:00 CST 2016,9
124,Mon Jul 18 00:01:00 CST 2016,10
125,Tue Jul 19 00:01:00 CST 2016,10
126,Wed Jul 20 00:01:00 CST 2016,13
127,Thu Jul 21 00:01:00 CST 2016,9
128,Fri Jul 22 00:01:00 CST 2016,14
129,Sat Jul 23 00:01:00 CST 2016,9
130,Sun Jul 24 00:01:00 CST 2016,5
131,Mon Jul 25 00:01:00 CST 2016,6
132,Tue Jul 26 00:01:00 CST 2016,8
133,Wed Jul 27 00:01:00 CST 2016,9
134,Thu Jul 28 00:01:00 CST 2016,7
135,Fri Jul 29 00:01:00 CST 2016,12
136,Sat Jul 30 00:01:00 CST 2016,10
137,Sun Jul 31 00:01:00 CST 2016,11
138,Mon Aug 01 00:01:00 CST 2016,12
139,Tue Aug 02 00:01:00 CST 2016,13
140,Wed Aug 03 00:01:00 CST 2016,8
141,Thu Aug 04 00:01:00 CST 2016,6
142,Fri Aug 05 00:01:00 CST 2016,4
